Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
2016-05-30,Chagos Islands,Western Armenia,0,12,CONIFA World Football Cup,Sukhumi,Georgia,True
2016-05-31,Abkhazia,Western Armenia,1,0,CONIFA World Football Cup,Sukhumi,Georgia,False
2016-06-02,Western Armenia,Panjab,2,3,CONIFA World Football Cup,Sukhumi,Georgia,True
2016-06-03,Iraqi Kurdistan,Western Armenia,0,0,CONIFA World Football Cup,Sukhumi,Georgia,True
2016-06-04,Sápmi,Western Armenia,3,0,CONIFA World Football Cup,Sukhumi,Georgia,True
2018-05-31,United Koreans in Japan,Western Armenia,0,0,CONIFA World Football Cup,Carshalton,England,True
2018-06-02,Panjab,Western Armenia,0,1,CONIFA World Football Cup,Slough,England,True
2018-06-03,Western Armenia,Kabylia,4,0,CONIFA World Football Cup,Enfield,England,True
2018-06-05,Western Armenia,Székely Land,0,4,CONIFA World Football Cup,Bromley,England,True
2018-06-07,Cascadia,Western Armenia,4,0,CONIFA World Football Cup,Bromley,England,True
2018-06-09,Barawa,Western Armenia,0,7,CONIFA World Football Cup,Haringey,England,False
2019-06-02,Western Armenia,South Ossetia,1,2,CONIFA European Football Cup,Martuni,Azerbaijan,True
2019-06-03,Székely Land,Western Armenia,0,5,CONIFA European Football Cup,Askeran,Azerbaijan,True
2019-06-04,Padania,Western Armenia,1,1,CONIFA European Football Cup,Stepanakert,Azerbaijan,True
2019-06-06,Abkhazia,Western Armenia,1,1,CONIFA European Football Cup,Stepanakert,Azerbaijan,True
2019-06-09,Western Armenia,South Ossetia,0,1,CONIFA European Football Cup,Stepanakert,Azerbaijan,True
