Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
2016-05-30,United Koreans in Japan,Székely Land,1,0,CONIFA World Football Cup,Sukhumi,Georgia,True
2016-05-31,United Koreans in Japan,Iraqi Kurdistan,0,3,CONIFA World Football Cup,Sukhumi,Georgia,True
2016-06-01,United Koreans in Japan,Northern Cyprus,1,1,CONIFA World Football Cup,Sukhumi,Georgia,True
2016-06-03,United Koreans in Japan,Sápmi,1,2,CONIFA World Football Cup,Sukhumi,Georgia,True
2016-06-04,United Koreans in Japan,Iraqi Kurdistan,1,1,CONIFA World Football Cup,Sukhumi,Georgia,True
2016-11-26,Ryūkyū,United Koreans in Japan,0,9,Friendly,Nakagusuku,Japan,True
2018-05-31,United Koreans in Japan,Western Armenia,0,0,CONIFA World Football Cup,Carshalton,England,True
2018-06-02,United Koreans in Japan,Kabylia,0,0,CONIFA World Football Cup,Bracknell,England,True
2018-06-03,Panjab,United Koreans in Japan,1,1,CONIFA World Football Cup,Slough,England,True
2018-06-05,United Koreans in Japan,Tuvalu,5,0,CONIFA World Football Cup,Bracknell,England,True
2018-06-07,Abkhazia,United Koreans in Japan,2,0,CONIFA World Football Cup,Bromley,England,True
2018-06-09,Tibet,United Koreans in Japan,1,1,CONIFA World Football Cup,Rotherhithe,England,True
