Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1934-03-16,Egypt,Israel,7,1,FIFA World Cup qualification,Cairo,Egypt,False
1934-04-06,Israel,Egypt,1,4,FIFA World Cup qualification,Tel Aviv,Mandatory Palestine,False
1938-01-22,Israel,Greece,1,3,FIFA World Cup qualification,Tel Aviv,Mandatory Palestine,False
1938-02-20,Greece,Israel,1,0,FIFA World Cup qualification,Athens,Greece,False
1940-04-27,Israel,Lebanon,5,1,Friendly,Tel Aviv,Mandatory Palestine,False
1948-09-26,United States,Israel,3,1,Friendly,East Rutherford,United States,False
1949-07-30,Israel,Cyprus,3,1,Friendly,Tel Aviv,Israel,False
1949-08-21,Yugoslavia,Israel,6,0,FIFA World Cup qualification,Belgrade,Yugoslavia,False
1949-09-18,Israel,Yugoslavia,2,5,FIFA World Cup qualification,Tel Aviv,Israel,False
1950-10-28,Israel,Turkey,5,1,Friendly,Tel Aviv,Israel,False
1950-12-03,Turkey,Israel,3,2,Friendly,Istanbul,Turkey,False
1953-11-01,Greece,Israel,1,0,FIFA World Cup qualification,Athens,Greece,False
1953-11-08,Yugoslavia,Israel,1,0,FIFA World Cup qualification,Skopje,Yugoslavia,False
1954-03-08,Israel,Greece,0,2,FIFA World Cup qualification,Ramat Gan,Israel,False
1954-03-21,Israel,Yugoslavia,0,1,FIFA World Cup qualification,Ramat Gan,Israel,False
1954-05-01,South Africa,Israel,2,1,Friendly,Johannesburg,South Africa,False
1954-05-03,Zambia,Israel,0,0,Friendly,Kitwe,Northern Rhodesia,False
1954-05-05,Zimbabwe,Israel,2,1,Friendly,Salisbury,Southern Rhodesia,False
1954-05-09,Zimbabwe,Israel,1,2,Friendly,Bulawayo,Southern Rhodesia,False
1956-09-01,Hong Kong,Israel,2,3,AFC Asian Cup,So Kon Po,Hong Kong,False
1956-09-08,Israel,South Korea,1,2,AFC Asian Cup,So Kon Po,Hong Kong,True
1956-09-12,Israel,Vietnam Republic,2,1,AFC Asian Cup,So Kon Po,Hong Kong,True
1958-01-15,Israel,Wales,0,2,FIFA World Cup qualification,Ramat Gan,Israel,False
1958-02-05,Wales,Israel,2,0,FIFA World Cup qualification,Cardiff,Wales,False
1958-05-26,Israel,Iran,4,0,Asian Games,Tokyo,Japan,True
1958-05-28,Singapore,Israel,1,2,Asian Games,Tokyo,Japan,True
1958-05-30,Taiwan,Israel,2,0,Asian Games,Tokyo,Japan,True
1959-06-21,Poland,Israel,7,2,Friendly,Wrocław,Poland,False
1959-11-29,Israel,Poland,1,1,Friendly,Ramat Gan,Israel,False
1959-12-05,Iran,Israel,3,0,AFC Asian Cup qualification,Ernakulam,India,True
1959-12-08,India,Israel,1,3,AFC Asian Cup qualification,Ernakulam,India,False
1959-12-10,Israel,Pakistan,2,0,AFC Asian Cup qualification,Ernakulam,India,True
1959-12-12,Israel,Iran,1,1,AFC Asian Cup qualification,Ernakulam,India,True
1959-12-17,Pakistan,Israel,2,2,AFC Asian Cup qualification,Ernakulam,India,True
1960-10-17,South Korea,Israel,3,0,AFC Asian Cup,Seoul,South Korea,False
1960-10-19,Israel,Vietnam Republic,5,1,AFC Asian Cup,Seoul,South Korea,True
1960-10-23,Israel,Taiwan,1,0,AFC Asian Cup,Seoul,South Korea,True
1960-11-13,Cyprus,Israel,1,1,FIFA World Cup qualification,Nicosia,Cyprus,False
1960-11-27,Israel,Cyprus,6,1,FIFA World Cup qualification,Ramat Gan,Israel,False
1961-03-14,Israel,Ethiopia,1,0,FIFA World Cup qualification,Ramat Gan,Israel,False
1961-03-19,Israel,Ethiopia,3,2,FIFA World Cup qualification,Ramat Gan,Israel,False
1961-10-15,Israel,Italy,2,4,FIFA World Cup qualification,Ramat Gan,Israel,False
1961-10-22,Israel,South Korea,1,1,Friendly,Ramat Gan,Israel,False
1961-11-04,Italy,Israel,6,0,FIFA World Cup qualification,Turin,Italy,False
1961-12-14,Israel,Yugoslavia,0,2,Friendly,Ramat Gan,Israel,False
1962-05-16,Turkey,Israel,1,0,Friendly,Istanbul,Turkey,False
1962-10-17,Israel,Austria,1,1,Friendly,Ramat Gan,Israel,False
1962-11-25,Israel,Turkey,0,2,Friendly,Ramat Gan,Israel,False
1963-05-19,Israel,Brazil,0,5,Friendly,Ramat Gan,Israel,False
1964-01-02,Hong Kong,Israel,0,3,Friendly,So Kon Po,Hong Kong,False
1964-05-26,Israel,Hong Kong,1,0,AFC Asian Cup,Ramat Gan,Israel,False
1964-05-29,Israel,India,2,0,AFC Asian Cup,Jaffa,Israel,False
1964-06-03,Israel,South Korea,2,1,AFC Asian Cup,Ramat Gan,Israel,False
1964-10-28,Israel,Yugoslavia,2,0,Friendly,Jaffa,Israel,False
1964-12-01,Israel,Denmark,0,1,Friendly,Jaffa,Israel,False
1965-01-26,Israel,Netherlands,0,1,Friendly,Jaffa,Israel,False
1965-03-17,Israel,Switzerland,0,0,Friendly,Jaffa,Israel,False
