Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1966-04-01,Libya,Palestine,0,0,Arab Cup,Baghdad,Iraq,True
1966-04-04,Palestine,Yemen,7,0,Arab Cup,Baghdad,Iraq,True
1966-04-06,Palestine,Syria,1,3,Arab Cup,Baghdad,Iraq,True
1966-11-25,Palestine,Yemen,5,3,GaNEFo,Phnom Penh,Cambodia,True
1966-11-26,China PR,Palestine,7,0,GaNEFo,Phnom Penh,Cambodia,True
1966-11-27,Palestine,North Vietnam,0,4,GaNEFo,Phnom Penh,Cambodia,True
1966-11-29,Palestine,North Korea,1,5,GaNEFo,Phnom Penh,Cambodia,True
1969-10-15,Tunisia,Palestine,1,1,Friendly,Tunis,Tunisia,False
1969-10-23,Algeria,Palestine,2,0,Friendly,Algiers,Algeria,False
1971-07-11,Sudan,Palestine,1,1,Friendly,Tripoli,Libya,True
1972-01-01,Algeria,Palestine,2,0,Palestine Cup,Baghdad,Iraq,True
1972-01-04,Palestine,Syria,1,3,Palestine Cup,Baghdad,Iraq,True
1972-01-06,Palestine,Yemen DPR,1,2,Palestine Cup,Baghdad,Iraq,True
1972-01-10,Palestine,Qatar,7,2,Palestine Cup,Baghdad,Iraq,True
1973-07-21,Syria,Palestine,1,1,Palestine Cup,Tripoli,Libya,True
1973-08-13,Palestine,Yemen DPR,1,0,Palestine Cup,Tripoli,Libya,True
1973-08-16,Egypt,Palestine,2,0,Palestine Cup,Tripoli,Libya,True
1973-08-21,Palestine,Tunisia,2,6,Palestine Cup,Tripoli,Libya,True
1974-09-26,Syria,Palestine,2,0,Kuneitra Cup,Damascus,Syria,False
1974-09-30,Palestine,Sudan,1,3,Kuneitra Cup,Damascus,Syria,True
1974-10-02,Libya,Palestine,0,0,Kuneitra Cup,Damascus,Syria,True
1974-10-06,Palestine,Yemen,7,1,Kuneitra Cup,Damascus,Syria,True
1975-12-19,Palestine,Sudan,0,0,Palestine Cup,Tunis,Tunisia,True
1975-12-21,Palestine,Sudan,0,1,Palestine Cup,Tunis,Tunisia,True
1979-09-03,Libya,Palestine,0,0,Friendly,Tripoli,Libya,False
1992-09-11,Syria,Palestine,0,0,Arab Cup,Aleppo,Syria,False
1992-09-13,Saudi Arabia,Palestine,2,1,Arab Cup,Aleppo,Syria,True
1997-06-06,Palestine,Jordan,0,0,Friendly,Jericho,Palestine,False
1998-07-20,Lebanon,Palestine,3,1,Arab Cup qualification,Beirut,Lebanon,False
1998-07-23,Palestine,Syria,1,2,Arab Cup qualification,Beirut,Lebanon,True
1998-07-26,Jordan,Palestine,1,1,Arab Cup qualification,Beirut,Lebanon,True
2000-03-31,Qatar,Palestine,1,0,AFC Asian Cup qualification,Doha,Qatar,False
2000-04-02,Palestine,Pakistan,2,0,AFC Asian Cup qualification,Doha,Qatar,True
2000-04-04,Palestine,Jordan,1,5,AFC Asian Cup qualification,Doha,Qatar,True
2000-04-06,Kazakhstan,Palestine,2,0,AFC Asian Cup qualification,Doha,Qatar,True
2000-05-24,Syria,Palestine,1,0,WAFF Championship,Amman,Jordan,True
2000-05-26,Palestine,Iran,1,1,WAFF Championship,Amman,Jordan,True
2000-05-28,Kazakhstan,Palestine,3,2,WAFF Championship,Amman,Jordan,True
2001-03-04,Hong Kong,Palestine,1,1,FIFA World Cup qualification,So Kon Po,Hong Kong,False
2001-03-08,Palestine,Qatar,1,2,FIFA World Cup qualification,So Kon Po,Hong Kong,True
2001-03-11,Palestine,Malaysia,1,0,FIFA World Cup qualification,So Kon Po,Hong Kong,True
2001-03-20,Palestine,Hong Kong,1,0,FIFA World Cup qualification,Doha,Qatar,True
2001-03-23,Qatar,Palestine,2,1,FIFA World Cup qualification,Doha,Qatar,False
2001-03-25,Malaysia,Palestine,4,3,FIFA World Cup qualification,Doha,Qatar,True
2002-08-30,Syria,Palestine,2,1,WAFF Championship,Damascus,Syria,False
2002-09-01,Palestine,Iraq,0,2,WAFF Championship,Damascus,Syria,True
2002-12-10,Chile,Palestine,3,1,Friendly,Independencia,Chile,False
2002-12-16,Palestine,Jordan,1,1,Arab Cup,Kuwait City,Kuwait,True
2002-12-23,Sudan,Palestine,2,2,Arab Cup,Kuwait City,Kuwait,True
2002-12-25,Kuwait,Palestine,3,3,Arab Cup,Kuwait City,Kuwait,False
2003-09-24,Qatar,Palestine,1,1,AFC Asian Cup qualification,Doha,Qatar,False
2003-09-27,Qatar,Palestine,2,1,AFC Asian Cup qualification,Doha,Qatar,False
2003-10-05,Kuwait,Palestine,2,1,AFC Asian Cup qualification,Kuwait City,Kuwait,False
2003-10-08,Kuwait,Palestine,4,0,AFC Asian Cup qualification,Kuwait City,Kuwait,False
2003-10-19,Singapore,Palestine,2,0,AFC Asian Cup qualification,Singapore,Singapore,False
2003-10-22,Singapore,Palestine,0,0,AFC Asian Cup qualification,Singapore,Singapore,False
2004-02-18,Palestine,Taiwan,8,0,FIFA World Cup qualification,Al Wakrah,Qatar,True
2004-03-26,Syria,Palestine,1,1,Friendly,Damascus,Syria,False
2004-03-31,Palestine,Iraq,1,1,FIFA World Cup qualification,Al Wakrah,Qatar,True
2004-06-09,Uzbekistan,Palestine,3,0,FIFA World Cup qualification,Tashkent,Uzbekistan,False
2004-06-17,Palestine,Jordan,1,1,WAFF Championship,Tehran,Iran,True
2004-06-19,Iraq,Palestine,2,1,WAFF Championship,Tehran,Iran,True
2004-09-02,Bahrain,Palestine,1,0,Friendly,Muharraq,Bahrain,False
2004-09-08,Palestine,Uzbekistan,0,3,FIFA World Cup qualification,Al Rayyan,Qatar,True
2004-10-14,Taiwan,Palestine,0,1,FIFA World Cup qualification,Taipei,Taiwan,False
2004-11-16,Iraq,Palestine,4,1,FIFA World Cup qualification,Doha,Qatar,True
2005-12-01,Iraq,Palestine,4,0,Friendly,Al Rayyan,Qatar,True
2005-12-03,Saudi Arabia,Palestine,2,0,Friendly,Al Rayyan,Qatar,True
2006-02-07,Syria,Palestine,3,0,Friendly,Aleppo,Syria,False
2006-02-16,Bahrain,Palestine,0,2,Friendly,Muharraq,Bahrain,False
2006-02-18,Pakistan,Palestine,0,3,Friendly,Muharraq,Bahrain,True
2006-02-22,China PR,Palestine,2,0,AFC Asian Cup qualification,Guangzhou,China PR,False
2006-03-01,Palestine,Singapore,1,0,AFC Asian Cup qualification,Amman,Jordan,True
2006-04-01,Palestine,Guam,11,0,AFC Challenge Cup,Dhaka,Bangladesh,True
2006-04-03,Cambodia,Palestine,0,4,AFC Challenge Cup,Dhaka,Bangladesh,True
2006-04-05,Bangladesh,Palestine,1,1,AFC Challenge Cup,Dhaka,Bangladesh,False
2006-04-09,Palestine,Kyrgyzstan,0,1,AFC Challenge Cup,Dhaka,Bangladesh,True
2006-08-17,Palestine,Iraq,0,3,AFC Asian Cup qualification,Amman,Jordan,True
2006-09-06,Iraq,Palestine,2,2,AFC Asian Cup qualification,Al Ain,United Arab Emirates,True
2006-10-11,Palestine,China PR,0,2,AFC Asian Cup qualification,Amman,Jordan,True
2007-06-18,Palestine,Iraq,0,1,WAFF Championship,Amman,Jordan,True
2007-06-20,Iran,Palestine,2,0,WAFF Championship,Amman,Jordan,True
2007-10-08,Palestine,Singapore,0,4,FIFA World Cup qualification,Al Rayyan,Qatar,True
2008-08-07,Iran,Palestine,3,0,WAFF Championship,Tehran,Iran,False
2008-08-09,Palestine,Qatar,0,1,WAFF Championship,Tehran,Iran,True
2008-10-26,Palestine,Jordan,1,1,Friendly,Al-Ram,Palestine,False
2009-03-26,Nepal,Palestine,0,0,AFC Challenge Cup qualification,Kathmandu,Nepal,False
2009-03-30,Kyrgyzstan,Palestine,1,1,AFC Challenge Cup qualification,Kathmandu,Nepal,True
2009-07-10,Iraq,Palestine,3,0,Friendly,Erbil,Iraq,False
2009-07-13,Iraq,Palestine,4,0,Friendly,Baghdad,Iraq,False
2009-07-18,China PR,Palestine,3,1,Friendly,Tianjin,China PR,False
2009-10-10,United Arab Emirates,Palestine,1,1,Friendly,Dubai,United Arab Emirates,False
2010-06-04,Sudan,Palestine,1,1,Friendly,Omdurman,Sudan,False
2010-08-11,Mauritania,Palestine,0,0,Friendly,Nouakchott,Mauritania,False
2010-09-27,Yemen,Palestine,3,1,WAFF Championship,Amman,Jordan,True
2010-09-29,Palestine,Iraq,0,3,WAFF Championship,Amman,Jordan,True
2011-02-09,Tanzania,Palestine,1,0,Friendly,Dar es Salaam,Tanzania,False
2011-03-21,Palestine,Bangladesh,2,0,AFC Challenge Cup qualification,Yangon,Myanmar,True
2011-03-23,Philippines,Palestine,0,0,AFC Challenge Cup qualification,Yangon,Myanmar,True
2011-03-25,Myanmar,Palestine,1,3,AFC Challenge Cup qualification,Yangon,Myanmar,False
2011-06-12,Palestine,Vatican City,9,1,Friendly,Al-Khader,Palestine,False
2011-06-29,Afghanistan,Palestine,0,2,FIFA World Cup qualification,Tursunzoda,Tajikistan,True
2011-07-03,Palestine,Afghanistan,1,1,FIFA World Cup qualification,Al-Ram,Palestine,False
2011-07-23,Thailand,Palestine,1,0,FIFA World Cup qualification,Buriram,Thailand,False
2011-07-28,Palestine,Thailand,2,2,FIFA World Cup qualification,Al-Ram,Palestine,False
2011-08-22,Indonesia,Palestine,4,1,Friendly,Surakarta,Indonesia,False
2011-10-05,Iran,Palestine,7,0,Friendly,Tehran,Iran,False
2011-12-06,Bahrain,Palestine,0,1,Friendly,Arad,Bahrain,False
2012-02-24,United Arab Emirates,Palestine,3,0,Friendly,Abu Dhabi,United Arab Emirates,False
2012-02-29,Palestine,Azerbaijan,2,0,Friendly,Dubai,United Arab Emirates,True
2012-03-08,Nepal,Palestine,0,2,AFC Challenge Cup,Kathmandu,Nepal,False
2012-03-10,Palestine,Turkmenistan,0,0,AFC Challenge Cup,Kathmandu,Nepal,True
2012-03-12,Maldives,Palestine,0,2,AFC Challenge Cup,Kathmandu,Nepal,True
2012-03-16,North Korea,Palestine,2,0,AFC Challenge Cup,Kathmandu,Nepal,True
2012-03-19,Philippines,Palestine,4,3,AFC Challenge Cup,Kathmandu,Nepal,True
2012-05-28,Qatar,Palestine,0,0,Friendly,Doha,Qatar,False
2012-06-18,Yemen,Palestine,1,2,Friendly,Sana'a,Yemen,False
2012-06-25,Kuwait,Palestine,2,0,Arab Cup,Taif,Saudi Arabia,True
2012-06-28,Saudi Arabia,Palestine,2,2,Arab Cup,Taif,Saudi Arabia,False
2012-11-17,Palestine,Syria,1,1,Friendly,Amman,Jordan,True
2012-11-20,Palestine,Syria,2,1,Friendly,Zarqa,Jordan,True
2012-11-29,Palestine,Bahrain,0,2,Friendly,Al Wakrah,Qatar,True
2012-12-08,Kuwait,Palestine,2,1,WAFF Championship,Kuwait City,Kuwait,False
2012-12-11,Lebanon,Palestine,0,1,WAFF Championship,Al Farwaniyah,Kuwait,True
2012-12-14,Oman,Palestine,2,1,WAFF Championship,Al Farwaniyah,Kuwait,True
2013-02-06,India,Palestine,2,4,Friendly,Kochi,India,False
2013-03-02,Palestine,Bangladesh,1,0,AFC Challenge Cup qualification,Kathmandu,Nepal,True
2013-03-04,Northern Mariana Islands,Palestine,0,9,AFC Challenge Cup qualification,Kathmandu,Nepal,True
2013-03-06,Nepal,Palestine,0,0,AFC Challenge Cup qualification,Kathmandu,Nepal,False
2013-03-21,Kuwait,Palestine,2,1,Friendly,Kuwait City,Kuwait,False
2013-03-26,Malaysia,Palestine,0,2,Friendly,Kuantan,Malaysia,False
2013-04-17,Qatar,Palestine,2,0,Friendly,Doha,Qatar,False
2013-12-25,Qatar,Palestine,1,0,WAFF Championship,Doha,Qatar,False
2013-12-28,Palestine,Saudi Arabia,0,0,WAFF Championship,Doha,Qatar,True
2014-05-19,Palestine,Kyrgyzstan,1,0,AFC Challenge Cup,Malé,Maldives,True
2014-05-21,Myanmar,Palestine,0,2,AFC Challenge Cup,Malé,Maldives,True
2014-05-23,Maldives,Palestine,0,0,AFC Challenge Cup,Malé,Maldives,False
2014-05-27,Palestine,Afghanistan,2,0,AFC Challenge Cup,Malé,Maldives,True
2014-05-30,Palestine,Philippines,1,0,AFC Challenge Cup,Malé,Maldives,True
2014-09-03,Myanmar,Palestine,4,1,Friendly,Manila,Philippines,True
2014-09-06,Palestine,Taiwan,7,3,Friendly,Manila,Philippines,True
2014-10-06,India,Palestine,2,3,Friendly,Siliguri,India,False
2014-10-12,Pakistan,Palestine,0,2,Friendly,Lahore,Pakistan,False
2014-11-06,Saudi Arabia,Palestine,2,0,Friendly,Dammam,Saudi Arabia,False
2014-11-09,Vietnam,Palestine,1,3,Friendly,Hanoi,Vietnam,False
2014-12-13,Uzbekistan,Palestine,1,0,Friendly,Dubai,United Arab Emirates,True
2014-12-21,China PR,Palestine,0,0,Friendly,Chenzhou,China PR,False
2015-01-12,Japan,Palestine,4,0,AFC Asian Cup,Newcastle,Australia,True
2015-01-16,Palestine,Jordan,1,5,AFC Asian Cup,Melbourne,Australia,True
2015-01-20,Iraq,Palestine,2,0,AFC Asian Cup,Canberra,Australia,True
2015-06-11,Saudi Arabia,Palestine,3,2,FIFA World Cup qualification,Dammam,Saudi Arabia,False
2015-06-16,Malaysia,Palestine,0,6,FIFA World Cup qualification,Kuala Lumpur,Malaysia,False
2015-08-31,Lebanon,Palestine,0,0,Friendly,Sidon,Lebanon,False
2015-09-08,Palestine,United Arab Emirates,0,0,FIFA World Cup qualification,Al-Ram,Palestine,False
2015-10-08,Timor-Leste,Palestine,0,3,FIFA World Cup qualification,Dili,Timor-Leste,False
2015-11-09,Palestine,Saudi Arabia,0,0,FIFA World Cup qualification,Amman,Jordan,True
2015-11-12,Palestine,Malaysia,6,0,FIFA World Cup qualification,Amman,Jordan,True
2016-03-24,United Arab Emirates,Palestine,2,0,FIFA World Cup qualification,Abu Dhabi,United Arab Emirates,False
2016-03-29,Palestine,Timor-Leste,7,0,FIFA World Cup qualification,Hebron,Palestine,False
2016-09-06,Palestine,Tajikistan,1,1,Friendly,Hebron,Palestine,False
2016-10-05,Tajikistan,Palestine,3,3,Friendly,Dushanbe,Tajikistan,False
2016-11-10,Lebanon,Palestine,1,1,Friendly,Beirut,Lebanon,False
2017-03-22,Yemen,Palestine,0,1,Friendly,Al Wakrah,Qatar,True
2017-03-28,Maldives,Palestine,0,3,AFC Asian Cup qualification,Malé,Maldives,False
2017-06-06,Bahrain,Palestine,0,2,Friendly,Riffa,Bahrain,False
2017-06-13,Palestine,Oman,2,1,AFC Asian Cup qualification,Al-Ram,Palestine,False
2017-09-05,Bhutan,Palestine,0,2,AFC Asian Cup qualification,Thimphu,Bhutan,False
2017-10-10,Palestine,Bhutan,10,0,AFC Asian Cup qualification,Hebron,Palestine,False
2017-11-14,Palestine,Maldives,8,1,AFC Asian Cup qualification,Jenin,Palestine,False
2018-03-22,Bahrain,Palestine,0,0,Friendly,Riffa,Bahrain,False
2018-03-27,Oman,Palestine,1,0,AFC Asian Cup qualification,Muscat,Oman,False
2018-05-08,Iraq,Palestine,0,0,Friendly,Basra,Iraq,False
2018-05-11,Kuwait,Palestine,2,0,Friendly,Kuwait City,Kuwait,False
2018-08-04,Palestine,Iraq,0,3,Friendly,Al-Ram,Palestine,False
2018-09-06,Kyrgyzstan,Palestine,1,1,Friendly,Bishkek,Kyrgyzstan,False
2018-09-11,Qatar,Palestine,3,0,Friendly,Doha,Qatar,False
2018-11-16,Palestine,Pakistan,2,1,Friendly,Al-Ram,Palestine,False
2018-11-20,China PR,Palestine,1,1,Friendly,Wuhan,China PR,False
2018-12-16,Palestine,Pakistan,2,0,Friendly,Doha,Qatar,True
2018-12-24,Palestine,Iran,1,1,Friendly,Doha,Qatar,True
2018-12-28,Iraq,Palestine,1,0,Friendly,Doha,Qatar,True
2018-12-31,Kyrgyzstan,Palestine,2,1,Friendly,Doha,Qatar,True
2019-01-06,Syria,Palestine,0,0,AFC Asian Cup,Sharjah,United Arab Emirates,True
2019-01-11,Palestine,Australia,0,3,AFC Asian Cup,Dubai,United Arab Emirates,True
2019-01-15,Palestine,Jordan,0,0,AFC Asian Cup,Abu Dhabi,United Arab Emirates,True
2019-06-11,Kyrgyzstan,Palestine,2,2,Friendly,Bishkek,Kyrgyzstan,False
2019-07-30,Yemen,Palestine,0,1,WAFF Championship,Karbala,Iraq,True
2019-08-02,Iraq,Palestine,2,1,WAFF Championship,Karbala,Iraq,False
2019-08-05,Lebanon,Palestine,0,0,WAFF Championship,Karbala,Iraq,True
2019-08-11,Palestine,Syria,4,3,WAFF Championship,Karbala,Iraq,True
2019-09-05,Palestine,Uzbekistan,2,0,FIFA World Cup qualification,Al-Ram,Palestine,False
2019-09-10,Singapore,Palestine,2,1,FIFA World Cup qualification,Singapore,Singapore,False
2019-10-15,Palestine,Saudi Arabia,0,0,FIFA World Cup qualification,Al-Ram,Palestine,False
2019-11-14,Yemen,Palestine,1,0,FIFA World Cup qualification,Muharraq,Bahrain,True
2019-11-19,Uzbekistan,Palestine,2,0,FIFA World Cup qualification,Tashkent,Uzbekistan,False
2021-01-18,Kuwait,Palestine,0,1,Friendly,Kuwait City,Kuwait,False
2021-03-30,Saudi Arabia,Palestine,5,0,FIFA World Cup qualification,Riyadh,Saudi Arabia,False
2021-06-03,Palestine,Singapore,4,0,FIFA World Cup qualification,Riyadh,Saudi Arabia,True
2021-06-15,Palestine,Yemen,3,0,FIFA World Cup qualification,Riyadh,Saudi Arabia,True
2021-06-24,Palestine,Comoros,5,1,Arab Cup qualification,Doha,Qatar,True
2021-09-02,Kyrgyzstan,Palestine,1,0,Three Nations Cup,Bishkek,Kyrgyzstan,False
2021-09-05,Bangladesh,Palestine,0,2,Three Nations Cup,Bishkek,Kyrgyzstan,True
2021-12-01,Morocco,Palestine,4,0,Arab Cup,Al Wakrah,Qatar,True
2021-12-04,Palestine,Saudi Arabia,1,1,Arab Cup,Al Rayyan,Qatar,True
2021-12-07,Jordan,Palestine,5,1,Arab Cup,Doha,Qatar,True
2022-06-08,Mongolia,Palestine,0,1,AFC Asian Cup qualification,Ulaanbaatar,Mongolia,False
2022-06-11,Yemen,Palestine,0,5,AFC Asian Cup qualification,Ulaanbaatar,Mongolia,True
2022-06-14,Palestine,Philippines,4,0,AFC Asian Cup qualification,Ulaanbaatar,Mongolia,True
2023-03-25,Bahrain,Palestine,1,2,Friendly,Arad,Bahrain,False
2023-06-14,Indonesia,Palestine,0,0,Friendly,Surabaya,Indonesia,False
2023-06-20,China PR,Palestine,2,0,Friendly,Dalian,China PR,False
2023-09-06,Oman,Palestine,2,1,Friendly,Muscat,Oman,False
2023-09-11,Vietnam,Palestine,2,0,Friendly,Nam Định,Vietnam,False
2023-11-16,Lebanon,Palestine,0,0,FIFA World Cup qualification,Sharjah,United Arab Emirates,True
2023-11-21,Palestine,Australia,0,1,FIFA World Cup qualification,Kuwait City,Kuwait,True
2024-01-07,Uzbekistan,Palestine,1,0,Friendly,Doha,Qatar,True
2024-01-09,Saudi Arabia,Palestine,0,0,Friendly,Al Wakrah,Qatar,True
2024-01-14,Iran,Palestine,4,1,AFC Asian Cup,Al Rayyan,Qatar,True
2024-01-18,Palestine,United Arab Emirates,1,1,AFC Asian Cup,Al Wakrah,Qatar,True
2024-01-23,Hong Kong,Palestine,0,3,AFC Asian Cup,Doha,Qatar,True
2024-01-29,Qatar,Palestine,2,1,AFC Asian Cup,Al Khor,Qatar,False
2024-03-21,Palestine,Bangladesh,5,0,FIFA World Cup qualification,Kuwait City,Kuwait,True
2024-03-26,Bangladesh,Palestine,0,1,FIFA World Cup qualification,Dhaka,Bangladesh,False
2024-06-06,Palestine,Lebanon,0,0,FIFA World Cup qualification,Doha,Qatar,True
2024-06-11,Australia,Palestine,5,0,FIFA World Cup qualification,Perth,Australia,False
2024-09-05,South Korea,Palestine,0,0,FIFA World Cup qualification,Seoul,South Korea,False
2024-09-10,Palestine,Jordan,1,3,FIFA World Cup qualification,Kuala Lumpur,Malaysia,True
