Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1950-04-16,South Korea,Taiwan,3,1,Friendly,Wan Chai,Hong Kong,True
1953-04-08,South Korea,Taiwan,2,4,Friendly,So Kon Po,Hong Kong,True
1954-05-01,Taiwan,Vietnam,3,2,Asian Games,Manila,Philippines,True
1954-05-06,Philippines,Taiwan,0,4,Asian Games,Manila,Philippines,False
1954-05-07,Taiwan,Indonesia,4,2,Asian Games,Manila,Philippines,True
1954-05-08,Taiwan,South Korea,5,2,Asian Games,Manila,Philippines,True
1954-06-02,Hong Kong,Taiwan,2,2,Friendly,Victoria,Hong Kong,False
1956-08-26,South Korea,Taiwan,2,0,AFC Asian Cup qualification,Seoul,South Korea,False
1958-05-14,Hong Kong,Taiwan,2,1,Friendly,Victoria,Hong Kong,False
1958-05-25,Taiwan,Malaysia,2,1,Asian Games,Tokyo,Japan,True
1958-05-27,Pakistan,Taiwan,1,3,Asian Games,Tokyo,Japan,True
1958-05-30,Taiwan,Israel,2,0,Asian Games,Tokyo,Japan,True
1958-05-31,Taiwan,Indonesia,1,0,Asian Games,Tokyo,Japan,True
1958-06-01,Taiwan,South Korea,3,2,Asian Games,Tokyo,Japan,True
1959-03-31,Philippines,Taiwan,4,7,AFC Asian Cup qualification,Manila,Philippines,False
1959-08-22,Hong Kong,Taiwan,1,3,Friendly,Victoria,Hong Kong,False
1960-10-16,Taiwan,Vietnam Republic,2,0,AFC Asian Cup,Seoul,South Korea,True
1960-10-21,South Korea,Taiwan,1,0,AFC Asian Cup,Seoul,South Korea,False
1960-10-23,Israel,Taiwan,1,0,AFC Asian Cup,Seoul,South Korea,True
1962-07-14,Vietnam Republic,Taiwan,1,1,Friendly,Saigon,Vietnam Republic,False
1962-07-25,Thailand,Taiwan,4,0,Friendly,Bangkok,Thailand,False
1962-07-27,Singapore,Taiwan,2,2,Friendly,Kallang,Singapore,False
1963-08-09,Taiwan,Vietnam Republic,1,1,Merdeka Tournament,Kuala Lumpur,Malaya,True
1963-08-12,Malaysia,Taiwan,2,3,Merdeka Tournament,Kuala Lumpur,Malaya,False
1963-08-15,Taiwan,Japan,2,0,Merdeka Tournament,Kuala Lumpur,Malaya,True
1963-08-16,Taiwan,Thailand,2,2,Merdeka Tournament,Kuala Lumpur,Malaya,True
1963-08-18,Taiwan,South Korea,1,0,Merdeka Tournament,Kuala Lumpur,Malaya,True
1963-12-16,Philippines,Taiwan,0,7,Friendly,Manila,Philippines,False
1964-08-23,Cambodia,Taiwan,0,4,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1964-08-28,Taiwan,Vietnam Republic,0,0,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1964-08-30,Myanmar,Taiwan,2,4,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1964-09-02,Malaysia,Taiwan,5,2,Merdeka Tournament,Kuala Lumpur,Malaysia,False
1964-09-08,India,Taiwan,6,4,Friendly,Kuala Lumpur,Malaysia,True
1965-08-15,Vietnam Republic,Taiwan,5,2,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1965-08-18,Japan,Taiwan,0,4,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1965-08-20,Thailand,Taiwan,2,3,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1965-08-24,Myanmar,Taiwan,3,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1965-08-28,South Korea,Taiwan,1,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1965-12-03,Australia,Taiwan,3,1,Friendly,So Kon Po,Hong Kong,True
1966-08-15,Taiwan,Thailand,2,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1966-08-17,Taiwan,Vietnam Republic,0,3,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1966-08-20,Singapore,Taiwan,4,1,Merdeka Tournament,Ipoh,Malaysia,True
1966-08-20,Japan,Taiwan,5,2,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1966-08-23,India,Taiwan,1,0,Merdeka Tournament,Ipoh,Malaysia,True
1966-12-12,Vietnam Republic,Taiwan,2,1,Asian Games,Bangkok,Thailand,True
1966-12-13,Singapore,Taiwan,3,3,Asian Games,Bangkok,Thailand,True
1966-12-14,Taiwan,Indonesia,1,3,Asian Games,Bangkok,Thailand,True
1967-08-11,Singapore,Taiwan,3,3,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1967-08-15,Indonesia,Taiwan,2,1,Merdeka Tournament,Ipoh,Malaysia,True
1967-08-18,South Korea,Taiwan,2,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1967-08-20,Myanmar,Taiwan,1,2,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1967-08-22,India,Taiwan,1,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1967-08-25,Hong Kong,Taiwan,2,4,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1968-05-11,Myanmar,Taiwan,1,1,AFC Asian Cup,Tehran,Iran,True
1968-05-13,Iran,Taiwan,4,0,AFC Asian Cup,Tehran,Iran,False
1968-05-15,Hong Kong,Taiwan,1,1,AFC Asian Cup,Tehran,Iran,True
1968-05-17,Israel,Taiwan,4,1,AFC Asian Cup,Tehran,Iran,True
1968-08-11,Singapore,Taiwan,0,2,Merdeka Tournament,Ipoh,Malaysia,True
1968-08-14,South Korea,Taiwan,2,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1968-08-15,Western Australia,Taiwan,3,2,Merdeka Tournament,Ipoh,Malaysia,True
1968-08-19,Indonesia,Taiwan,10,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1970-07-30,India,Taiwan,0,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
