Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1911-10-29,Luxembourg,France,1,4,Friendly,Luxembourg,Luxembourg,False
1913-04-20,France,Luxembourg,8,0,Friendly,Saint-Ouen,France,False
1914-02-08,Luxembourg,France,5,4,Friendly,Luxembourg,Luxembourg,False
1920-08-28,Netherlands,Luxembourg,3,0,Olympic Games,Brussels,Belgium,True
1922-03-12,Brittany,Luxembourg,1,0,Friendly,Rennes,France,False
1923-02-11,Luxembourg,Brittany,1,4,Friendly,Esch-sur-Alzette,Luxembourg,False
1924-03-23,Brittany,Luxembourg,1,1,Friendly,Rennes,France,False
1924-05-29,Italy,Luxembourg,2,0,Olympic Games,Paris,France,True
1925-02-22,Luxembourg,Brittany,1,1,Friendly,Luxembourg,Luxembourg,False
1927-05-21,Luxembourg,England,2,5,Friendly,Esch-sur-Alzette,Luxembourg,False
1928-05-27,Belgium,Luxembourg,5,3,Olympic Games,Amsterdam,Netherlands,True
1928-06-28,Luxembourg,Egypt,1,1,Friendly,Esch-sur-Alzette,Luxembourg,False
1934-03-11,Luxembourg,Germany,1,9,FIFA World Cup qualification,Luxembourg,Luxembourg,False
1934-04-15,Luxembourg,France,1,6,FIFA World Cup qualification,Luxembourg,Luxembourg,False
1935-08-18,Luxembourg,Germany,0,1,Friendly,Luxembourg,Luxembourg,False
1936-05-09,Luxembourg,Republic of Ireland,1,5,Friendly,Luxembourg,Luxembourg,False
1936-09-27,Germany,Luxembourg,7,2,Friendly,Krefeld,Germany,False
1937-03-21,Luxembourg,Germany,2,3,Friendly,Luxembourg,Luxembourg,False
1937-11-28,Netherlands,Luxembourg,4,0,FIFA World Cup qualification,Rotterdam,Netherlands,False
1938-01-16,Luxembourg,Hungary,0,6,Friendly,Luxembourg,Luxembourg,False
1938-03-13,Luxembourg,Belgium,2,3,FIFA World Cup qualification,Luxembourg,Luxembourg,False
1938-03-20,Germany,Luxembourg,2,1,Friendly,Wuppertal,Germany,False
1939-03-26,Luxembourg,Germany,2,1,Friendly,Differdange,Luxembourg,False
1939-04-23,Brittany,Luxembourg,3,1,Friendly,Brest,France,False
1940-03-31,Netherlands,Luxembourg,4,5,Friendly,Rotterdam,Netherlands,False
1945-05-13,Luxembourg,Belgium,4,1,Friendly,Luxembourg,Luxembourg,False
1946-02-23,Belgium,Luxembourg,7,0,Friendly,Charleroi,Belgium,False
1946-03-10,Luxembourg,Netherlands,2,6,Friendly,Luxembourg,Luxembourg,False
1946-07-28,Luxembourg,Norway,3,2,Friendly,Luxembourg,Luxembourg,False
1946-10-30,Luxembourg,Hungary,2,7,Friendly,Esch-sur-Alzette,Luxembourg,False
1947-05-24,Luxembourg,Scotland,0,6,Friendly,Luxembourg,Luxembourg,False
1949-03-23,Czechoslovakia,Luxembourg,2,2,Friendly,Bratislava,Czechoslovakia,False
1949-06-26,Switzerland,Luxembourg,5,2,FIFA World Cup qualification,Zürich,Switzerland,False
1949-09-18,Luxembourg,Switzerland,2,3,FIFA World Cup qualification,Luxembourg,Luxembourg,False
1950-08-15,Norway,Luxembourg,2,2,Friendly,Bergen,Norway,False
1951-11-04,Luxembourg,Finland,3,0,Friendly,Luxembourg,Luxembourg,False
1951-12-23,Germany,Luxembourg,4,1,Friendly,Essen,Germany,False
1952-04-20,Luxembourg,Germany,0,3,Friendly,Luxembourg,Luxembourg,False
1953-09-20,Luxembourg,France,1,6,FIFA World Cup qualification,Luxembourg,Luxembourg,False
1953-10-28,Republic of Ireland,Luxembourg,4,0,FIFA World Cup qualification,Dublin,Republic of Ireland,False
1953-12-17,France,Luxembourg,8,0,FIFA World Cup qualification,Paris,France,False
1954-03-07,Luxembourg,Republic of Ireland,0,1,FIFA World Cup qualification,Luxembourg,Luxembourg,False
1956-09-30,Austria,Luxembourg,7,0,FIFA World Cup qualification,Vienna,Austria,False
1957-03-10,German DR,Luxembourg,3,0,Friendly,Berlin,German DR,False
1957-03-20,Netherlands,Luxembourg,4,1,FIFA World Cup qualification,Rotterdam,Netherlands,False
1957-09-11,Netherlands,Luxembourg,5,2,FIFA World Cup qualification,Rotterdam,Netherlands,False
1957-09-29,Luxembourg,Austria,0,3,FIFA World Cup qualification,Luxembourg,Luxembourg,False
1959-06-17,Norway,Luxembourg,1,0,Friendly,Oslo,Norway,False
1960-10-19,Luxembourg,England,0,9,FIFA World Cup qualification,Luxembourg,Luxembourg,False
1961-03-19,Portugal,Luxembourg,6,0,FIFA World Cup qualification,Oeiras,Portugal,False
1961-09-28,England,Luxembourg,4,1,FIFA World Cup qualification,London,England,False
1961-10-08,Luxembourg,Portugal,4,2,FIFA World Cup qualification,Luxembourg,Luxembourg,False
1962-04-11,Luxembourg,Russia,1,3,Friendly,Luxembourg,Luxembourg,False
1963-09-11,Netherlands,Luxembourg,1,1,UEFA Euro qualification,Amsterdam,Netherlands,False
1963-10-30,Netherlands,Luxembourg,1,2,UEFA Euro qualification,Rotterdam,Netherlands,False
1963-12-04,Luxembourg,Denmark,3,3,UEFA Euro qualification,Luxembourg,Luxembourg,False
1963-12-10,Denmark,Luxembourg,2,2,UEFA Euro qualification,Copenhagen,Denmark,False
1963-12-18,Denmark,Luxembourg,1,0,UEFA Euro qualification,Amsterdam,Netherlands,True
1964-09-29,Yugoslavia,Luxembourg,3,1,FIFA World Cup qualification,Belgrade,Yugoslavia,False
1964-10-04,Luxembourg,France,0,2,FIFA World Cup qualification,Luxembourg,Luxembourg,False
1964-11-08,Luxembourg,Norway,0,2,FIFA World Cup qualification,Luxembourg,Luxembourg,False
1965-05-27,Norway,Luxembourg,4,2,FIFA World Cup qualification,Trondheim,Norway,False
1965-09-19,Luxembourg,Yugoslavia,2,5,FIFA World Cup qualification,Luxembourg,Luxembourg,False
1965-11-06,France,Luxembourg,4,1,FIFA World Cup qualification,Marseille,France,False
1966-10-02,Poland,Luxembourg,4,0,UEFA Euro qualification,Szczecin,Poland,False
1966-11-26,Luxembourg,France,0,3,UEFA Euro qualification,Luxembourg,Luxembourg,False
1967-03-19,Luxembourg,Belgium,0,5,UEFA Euro qualification,Luxembourg,Luxembourg,False
1967-04-16,Luxembourg,Poland,0,0,UEFA Euro qualification,Luxembourg,Luxembourg,False
1967-11-22,Belgium,Luxembourg,3,0,UEFA Euro qualification,Bruges,Belgium,False
1967-12-23,France,Luxembourg,3,1,UEFA Euro qualification,Paris,France,False
1968-09-04,Netherlands,Luxembourg,2,0,FIFA World Cup qualification,Rotterdam,Netherlands,False
1968-11-20,Denmark,Luxembourg,5,1,Friendly,Copenhagen,Denmark,False
1969-03-26,Netherlands,Luxembourg,4,0,FIFA World Cup qualification,Rotterdam,Netherlands,False
1969-04-10,Luxembourg,Mexico,2,1,Friendly,Luxembourg,Luxembourg,False
1969-04-20,Poland,Luxembourg,8,1,FIFA World Cup qualification,Kraków,Poland,False
1969-04-23,Bulgaria,Luxembourg,2,1,FIFA World Cup qualification,Sofia,Bulgaria,False
1969-10-10,Luxembourg,Poland,1,5,FIFA World Cup qualification,Luxembourg,Luxembourg,False
1969-12-07,Luxembourg,Bulgaria,1,3,FIFA World Cup qualification,Luxembourg,Luxembourg,False
1970-01-04,Malta,Luxembourg,1,1,Friendly,Gżira,Malta,False
1970-05-09,Luxembourg,Czechoslovakia,0,1,Friendly,Luxembourg,Luxembourg,False
1970-10-14,Luxembourg,Yugoslavia,0,2,UEFA Euro qualification,Luxembourg,Luxembourg,False
1970-11-15,Luxembourg,German DR,0,5,UEFA Euro qualification,Luxembourg,Luxembourg,False
1971-02-24,Netherlands,Luxembourg,6,0,UEFA Euro qualification,Rotterdam,Netherlands,False
1971-04-24,German DR,Luxembourg,2,1,UEFA Euro qualification,Gera,German DR,False
1971-05-20,Luxembourg,Belgium,0,4,Friendly,Luxembourg,Luxembourg,False
1971-10-27,Yugoslavia,Luxembourg,0,0,UEFA Euro qualification,Titograd,Yugoslavia,False
1971-11-07,Belgium,Luxembourg,1,0,Friendly,Verviers,Belgium,False
1971-11-17,Netherlands,Luxembourg,8,0,UEFA Euro qualification,Eindhoven,Netherlands,False
1972-04-26,Czechoslovakia,Luxembourg,6,0,Friendly,Plzeň,Czechoslovakia,False
1972-10-07,Luxembourg,Italy,0,4,FIFA World Cup qualification,Luxembourg,Luxembourg,False
1972-10-22,Luxembourg,Turkey,2,0,FIFA World Cup qualification,Luxembourg,Luxembourg,False
1972-12-10,Turkey,Luxembourg,3,0,FIFA World Cup qualification,Istanbul,Turkey,False
1973-03-31,Italy,Luxembourg,5,0,FIFA World Cup qualification,Genoa,Italy,False
1973-04-08,Luxembourg,Switzerland,0,1,FIFA World Cup qualification,Luxembourg,Luxembourg,False
1973-09-26,Switzerland,Luxembourg,1,0,FIFA World Cup qualification,Lucerne,Switzerland,False
1973-10-07,Luxembourg,Canada,0,2,Friendly,Luxembourg,Luxembourg,False
1974-10-13,Luxembourg,Hungary,2,4,UEFA Euro qualification,Luxembourg,Luxembourg,False
1974-11-20,Wales,Luxembourg,5,0,UEFA Euro qualification,Swansea,Wales,False
1975-03-16,Luxembourg,Austria,1,2,UEFA Euro qualification,Luxembourg,Luxembourg,False
1975-05-01,Luxembourg,Wales,1,3,UEFA Euro qualification,Luxembourg,Luxembourg,False
1975-10-15,Austria,Luxembourg,6,2,UEFA Euro qualification,Vienna,Austria,False
1975-10-19,Hungary,Luxembourg,8,1,UEFA Euro qualification,Szombathely,Hungary,False
1976-08-21,Iceland,Luxembourg,3,1,Friendly,Reykjavík,Iceland,False
1976-09-22,Finland,Luxembourg,7,1,FIFA World Cup qualification,Helsinki,Finland,False
1976-10-16,Luxembourg,Italy,1,4,FIFA World Cup qualification,Luxembourg,Luxembourg,False
1977-03-30,England,Luxembourg,5,0,FIFA World Cup qualification,London,England,False
1977-05-26,Luxembourg,Finland,0,1,FIFA World Cup qualification,Luxembourg,Luxembourg,False
1977-10-12,Luxembourg,England,0,2,FIFA World Cup qualification,Luxembourg,Luxembourg,False
1977-12-03,Italy,Luxembourg,3,0,FIFA World Cup qualification,Rome,Italy,False
1978-03-22,Luxembourg,Poland,1,3,Friendly,Luxembourg,Luxembourg,False
1978-10-07,Luxembourg,France,1,3,UEFA Euro qualification,Luxembourg,Luxembourg,False
1979-02-25,France,Luxembourg,3,0,UEFA Euro qualification,Paris,France,False
1979-05-01,Luxembourg,Czechoslovakia,0,3,UEFA Euro qualification,Luxembourg,Luxembourg,False
1979-06-07,Sweden,Luxembourg,3,0,UEFA Euro qualification,Malmö,Sweden,False
1979-10-23,Luxembourg,Sweden,1,1,UEFA Euro qualification,Esch-sur-Alzette,Luxembourg,False
1979-11-24,Czechoslovakia,Luxembourg,4,0,UEFA Euro qualification,Prague,Czechoslovakia,False
1980-02-27,Belgium,Luxembourg,5,0,Friendly,Brussels,Belgium,False
1980-03-26,Luxembourg,Uruguay,0,1,Friendly,Esch-sur-Alzette,Luxembourg,False
1980-05-01,Thailand,Luxembourg,0,1,Friendly,Medan,Indonesia,True
1980-05-09,South Korea,Luxembourg,2,3,Friendly,Medan,Indonesia,True
1980-05-11,Japan,Luxembourg,1,0,Friendly,Medan,Indonesia,True
