Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1985-11-05,Anguilla,British Virgin Islands,0,1,Friendly,The Valley,Anguilla,False
1989-05-07,Sint Maarten,British Virgin Islands,1,2,CFU Caribbean Cup qualification,Philipsburg,Sint Maarten,False
1989-05-21,Martinique,British Virgin Islands,0,0,CFU Caribbean Cup qualification,Fort-de-France,Martinique,False
1989-06-03,Curaçao,British Virgin Islands,4,0,CFU Caribbean Cup qualification,Willemstad,Curaçao,True
1990-03-24,Saint Martin,British Virgin Islands,3,0,CFU Caribbean Cup qualification,Marigot,Saint Martin,False
1991-05-10,Cayman Islands,British Virgin Islands,2,1,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,True
1991-05-14,Saint Kitts and Nevis,British Virgin Islands,0,0,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,False
1992-04-15,Saint Kitts and Nevis,British Virgin Islands,4,0,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,False
1992-04-17,Antigua and Barbuda,British Virgin Islands,2,0,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,True
1993-04-02,Saint Kitts and Nevis,British Virgin Islands,5,1,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,False
1993-04-04,Dominican Republic,British Virgin Islands,3,1,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,True
1994-03-02,Cayman Islands,British Virgin Islands,5,0,CFU Caribbean Cup qualification,George Town,Cayman Islands,False
1994-03-04,Jamaica,British Virgin Islands,12,0,CFU Caribbean Cup qualification,George Town,Cayman Islands,True
1994-03-06,Sint Maarten,British Virgin Islands,3,0,CFU Caribbean Cup qualification,George Town,Cayman Islands,True
1997-04-02,Dominica,British Virgin Islands,6,1,CFU Caribbean Cup qualification,Roseau,Dominica,False
1997-04-04,British Virgin Islands,Anguilla,4,2,CFU Caribbean Cup qualification,Roseau,Dominica,True
1997-04-06,Sint Maarten,British Virgin Islands,3,2,CFU Caribbean Cup qualification,Roseau,Dominica,True
1998-03-22,United States Virgin Islands,British Virgin Islands,1,0,Friendly,Saint Croix,United States Virgin Islands,False
1998-04-01,Saint Kitts and Nevis,British Virgin Islands,4,0,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,False
1998-04-03,Guadeloupe,British Virgin Islands,3,0,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,True
1998-04-05,Dominica,British Virgin Islands,4,1,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,True
1998-12-06,British Virgin Islands,Saint Vincent and the Grenadines,0,5,Friendly,Road Town,British Virgin Islands,False
1999-02-05,British Virgin Islands,Montserrat,3,1,CFU Caribbean Cup qualification,Road Town,British Virgin Islands,False
1999-02-07,British Virgin Islands,Montserrat,3,0,CFU Caribbean Cup qualification,Road Town,British Virgin Islands,False
1999-02-28,British Virgin Islands,Antigua and Barbuda,0,2,Friendly,Road Town,British Virgin Islands,False
1999-03-17,British Virgin Islands,Dominican Republic,0,0,CFU Caribbean Cup qualification,Port-au-Prince,Haiti,True
1999-03-19,British Virgin Islands,Puerto Rico,5,0,CFU Caribbean Cup qualification,Port-au-Prince,Haiti,True
1999-03-21,Haiti,British Virgin Islands,6,0,CFU Caribbean Cup qualification,Port-au-Prince,Haiti,False
2000-02-01,British Virgin Islands,Saint Lucia,2,3,Friendly,Road Town,British Virgin Islands,False
2000-02-13,Dominican Republic,British Virgin Islands,1,0,Friendly,Santo Domingo,Dominican Republic,False
2000-02-25,British Virgin Islands,Anguilla,3,4,Friendly,Road Town,British Virgin Islands,False
2000-02-27,British Virgin Islands,Anguilla,5,0,Friendly,Road Town,British Virgin Islands,False
2000-03-05,British Virgin Islands,Bermuda,1,5,FIFA World Cup qualification,Road Town,British Virgin Islands,False
2000-03-19,Bermuda,British Virgin Islands,9,0,FIFA World Cup qualification,Hamilton,Bermuda,False
2000-04-29,British Virgin Islands,Sint Maarten,0,0,Friendly,Road Town,British Virgin Islands,False
