Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1972-10-13,China PR,Nepal,6,2,Friendly,Beijing,China PR,False
1982-02-16,Bangladesh,Nepal,1,1,Friendly,Karachi,Pakistan,True
1982-02-17,Nepal,Oman,0,1,Friendly,Karachi,Pakistan,True
1982-04-01,Nepal,Bhutan,3,1,Friendly,Kathmandu,Nepal,False
1982-04-19,Nepal,Thailand,1,0,Friendly,Kathmandu,Nepal,False
1982-05-05,Nepal,Singapore,0,2,King's Cup,Bangkok,Thailand,True
1982-11-21,Kuwait,Nepal,3,1,Asian Games,New Delhi,India,True
1982-11-23,Iraq,Nepal,3,0,Asian Games,New Delhi,India,True
1982-11-25,Myanmar,Nepal,3,0,Asian Games,New Delhi,India,True
1983-09-19,Malaysia,Nepal,7,0,Merdeka Tournament,Kota Bharu,Malaysia,False
1983-09-22,Bangladesh,Nepal,1,0,Merdeka Tournament,Seremban,Malaysia,True
1984-09-18,Nepal,Maldives,4,0,South Asian Games,Kathmandu,Nepal,False
1984-09-20,Nepal,Bhutan,5,0,South Asian Games,Kathmandu,Nepal,False
1984-09-21,Nepal,Bangladesh,0,5,South Asian Games,Kathmandu,Nepal,False
1984-09-23,Nepal,Bangladesh,4,2,South Asian Games,Kathmandu,Nepal,False
1984-10-19,Saudi Arabia,Nepal,7,0,AFC Asian Cup qualification,Jeddah,Saudi Arabia,False
1984-10-22,Sri Lanka,Nepal,4,0,AFC Asian Cup qualification,Jeddah,Saudi Arabia,True
1984-10-26,United Arab Emirates,Nepal,11,0,AFC Asian Cup qualification,Jeddah,Saudi Arabia,True
1984-10-28,Oman,Nepal,8,0,AFC Asian Cup qualification,Jeddah,Saudi Arabia,True
1985-03-02,Nepal,South Korea,0,2,FIFA World Cup qualification,Kathmandu,Nepal,False
1985-03-16,Nepal,Malaysia,0,0,FIFA World Cup qualification,Kathmandu,Nepal,False
1985-03-31,Malaysia,Nepal,5,0,FIFA World Cup qualification,Kuala Lumpur,Malaysia,False
1985-04-06,South Korea,Nepal,4,0,FIFA World Cup qualification,Seoul,South Korea,False
1985-04-29,North Korea,Nepal,8,1,Friendly,Peshawar,Pakistan,True
1985-04-30,Pakistan,Nepal,1,0,Friendly,Peshawar,Pakistan,False
1985-12-21,India,Nepal,2,0,South Asian Games,Dhaka,Bangladesh,True
1985-12-22,Nepal,Bhutan,1,0,South Asian Games,Dhaka,Bangladesh,True
1985-12-25,Pakistan,Nepal,2,2,South Asian Games,Dhaka,Bangladesh,True
1986-04-25,China PR,Nepal,5,0,Friendly,Islamabad,Pakistan,True
1986-04-27,Nepal,Sri Lanka,2,2,Friendly,Islamabad,Pakistan,True
1986-04-29,South Korea,Nepal,5,0,Friendly,Islamabad,Pakistan,True
