Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
2007-06-30,Menorca,Jersey,0,1,Island Games,Rhodes,Greece,True
2007-07-02,Gibraltar,Menorca,2,1,Island Games,Rhodes,Greece,True
2007-07-04,Menorca,Ynys Môn,6,1,Island Games,Rhodes,Greece,True
2007-07-05,Menorca,Saare County,4,1,Island Games,Rhodes,Greece,True
2009-06-28,Shetland,Menorca,2,2,Island Games,Hammarland,Sweden,True
2009-06-29,Menorca,Greenland,6,0,Island Games,Sund,Sweden,True
2009-06-30,Åland Islands,Menorca,1,1,Island Games,Finström,Sweden,False
2009-07-03,Menorca,Western Isles,4,1,Island Games,Jomala,Sweden,True
2011-06-26,Jersey,Menorca,2,0,Island Games,Cowes,England,True
2011-06-27,Greenland,Menorca,2,3,Island Games,East Cowes,England,True
2011-06-30,Isle of Man,Menorca,2,2,Island Games,Cowes,England,True
2015-06-28,Greenland,Menorca,2,2,Island Games,Grouville,Jersey,True
2015-06-29,Menorca,Saare County,3,0,Island Games,St. Clement,Jersey,True
2015-06-30,Åland Islands,Menorca,1,3,Island Games,St. Clement,Jersey,True
2015-07-02,Menorca,Guernsey,1,2,Island Games,St Helier,Jersey,True
2015-07-03,Menorca,Shetland,1,0,Island Games,St. Peter,Jersey,True
2017-06-25,Menorca,Orkney,1,0,Island Games,Stenkyrka,Sweden,True
2017-06-26,Jersey,Menorca,3,3,Island Games,Visby,Sweden,True
2017-06-27,Menorca,Alderney,6,0,Island Games,Fårösund,Sweden,True
2017-06-29,Greenland,Menorca,1,1,Island Games,Väskinde,Sweden,True
2017-06-30,Menorca,Guernsey,0,1,Island Games,Väskinde,Sweden,True
2023-07-09,Menorca,Saint Helena,5,0,Island Games,Saint Sampson,Guernsey,True
2023-07-10,Jersey,Menorca,4,0,Island Games,Saint Sampson,Guernsey,True
2023-07-11,Menorca,Gozo,0,1,Island Games,Saint Martin,Guernsey,True
2023-07-13,Western Isles,Menorca,2,1,Island Games,Saint Sampson,Guernsey,True
