Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1927-11-07,Honduras,El Salvador,1,0,Friendly,Tegucigalpa,Honduras,False
1927-11-08,Honduras,El Salvador,0,0,Friendly,Tegucigalpa,Honduras,False
1928-12-07,El Salvador,Honduras,5,0,Friendly,San Salvador,El Salvador,False
1930-03-18,Honduras,Jamaica,5,4,Central American and Caribbean Games,Havana,Cuba,True
1930-03-20,Cuba,Honduras,7,0,Central American and Caribbean Games,Havana,Cuba,False
1930-03-23,Cuba,Honduras,5,0,Central American and Caribbean Games,Havana,Cuba,False
1930-03-29,El Salvador,Honduras,1,4,Central American and Caribbean Games,Havana,Cuba,True
1930-04-04,Costa Rica,Honduras,8,0,Central American and Caribbean Games,Havana,Cuba,True
1935-03-25,Cuba,Honduras,3,0,Central American and Caribbean Games,San Salvador,El Salvador,True
1935-03-28,El Salvador,Honduras,3,4,Central American and Caribbean Games,San Salvador,El Salvador,False
1935-03-31,Honduras,Guatemala,0,0,Central American and Caribbean Games,San Salvador,El Salvador,True
1935-04-01,Mexico,Honduras,8,2,Central American and Caribbean Games,San Salvador,El Salvador,True
1935-04-03,Costa Rica,Honduras,6,0,Central American and Caribbean Games,San Salvador,El Salvador,True
1937-10-11,El Salvador,Honduras,3,2,Friendly,San Salvador,El Salvador,False
1946-02-23,Panama,Honduras,1,0,CCCF Championship,San José,Costa Rica,True
1946-02-28,Honduras,Guatemala,5,3,CCCF Championship,San José,Costa Rica,True
1946-03-07,Costa Rica,Honduras,5,1,CCCF Championship,San José,Costa Rica,False
1946-03-10,El Salvador,Honduras,3,1,CCCF Championship,San José,Costa Rica,True
1946-03-13,Honduras,Nicaragua,10,0,CCCF Championship,San José,Costa Rica,True
1953-03-08,Honduras,Nicaragua,2,1,CCCF Championship,San José,Costa Rica,True
1953-03-11,Guatemala,Honduras,1,0,CCCF Championship,San José,Costa Rica,True
1953-03-13,Costa Rica,Honduras,4,1,CCCF Championship,San José,Costa Rica,False
1953-03-15,El Salvador,Honduras,0,3,CCCF Championship,San José,Costa Rica,True
1953-03-19,Curaçao,Honduras,3,4,CCCF Championship,San José,Costa Rica,True
1953-03-21,Honduras,Panama,3,1,CCCF Championship,San José,Costa Rica,True
1955-06-18,El Salvador,Honduras,2,2,Friendly,San Salvador,El Salvador,False
1955-06-19,El Salvador,Honduras,0,0,Friendly,San Salvador,El Salvador,False
1955-08-14,Honduras,Cuba,3,0,CCCF Championship,Tegucigalpa,Honduras,False
1955-08-17,Honduras,El Salvador,3,1,CCCF Championship,Tegucigalpa,Honduras,False
1955-08-20,Honduras,Curaçao,0,2,CCCF Championship,Tegucigalpa,Honduras,False
1955-08-22,Honduras,Aruba,1,1,CCCF Championship,Tegucigalpa,Honduras,False
1955-08-28,Honduras,Costa Rica,1,2,CCCF Championship,Tegucigalpa,Honduras,False
1957-08-21,Cuba,Honduras,0,2,CCCF Championship,Willemstad,Curaçao,True
1957-08-25,Curaçao,Honduras,1,1,CCCF Championship,Willemstad,Curaçao,False
1959-12-13,El Salvador,Honduras,1,0,Friendly,San Salvador,El Salvador,False
1959-12-14,Costa Rica,Honduras,6,1,Friendly,San Salvador,El Salvador,True
1960-02-19,Honduras,Curaçao,3,3,CCCF Championship,Havana,Cuba,True
1960-09-04,Honduras,Costa Rica,2,1,FIFA World Cup qualification,Tegucigalpa,Honduras,False
1960-09-11,Costa Rica,Honduras,5,0,FIFA World Cup qualification,San José,Costa Rica,False
1960-09-25,Honduras,Guatemala,1,1,FIFA World Cup qualification,Tegucigalpa,Honduras,False
1961-01-14,Costa Rica,Honduras,1,0,FIFA World Cup qualification,Guatemala City,Guatemala,True
1961-03-10,Curaçao,Honduras,2,4,CCCF Championship,San José,Costa Rica,True
1961-03-17,Haiti,Honduras,0,2,CCCF Championship,San José,Costa Rica,True
1963-03-02,Guatemala,Honduras,1,2,Friendly,Guatemala City,Guatemala,False
1963-03-10,Guatemala,Honduras,2,1,Friendly,Guatemala City,Guatemala,False
1963-03-25,Honduras,Nicaragua,1,0,CONCACAF Championship,San Salvador,El Salvador,True
1963-03-27,El Salvador,Honduras,2,2,CONCACAF Championship,San Salvador,El Salvador,False
1963-03-29,Guatemala,Honduras,1,2,CONCACAF Championship,San Salvador,El Salvador,True
1963-03-31,Panama,Honduras,0,1,CONCACAF Championship,San Salvador,El Salvador,True
