Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1924-04-06,Aruba,Curaçao,0,4,Friendly,Oranjestad,Aruba,False
1930-04-20,Curaçao,Aruba,2,1,Friendly,Willemstad,Curaçao,False
1931-04-05,Curaçao,Aruba,1,0,Friendly,Willemstad,Curaçao,False
1933-10-08,Aruba,Curaçao,1,3,Friendly,Oranjestad,Aruba,False
1933-10-11,Aruba,Curaçao,0,2,Friendly,Oranjestad,Aruba,False
1934-07-31,Aruba,Suriname,1,1,Friendly,Oranjestad,Aruba,False
1935-03-23,Curaçao,Aruba,2,0,Friendly,Willemstad,Curaçao,False
1935-03-24,Curaçao,Aruba,4,0,Friendly,Willemstad,Curaçao,False
1935-09-20,Curaçao,Aruba,1,0,Friendly,Willemstad,Curaçao,False
1937-05-01,Aruba,Curaçao,1,1,Friendly,Oranjestad,Aruba,False
1937-05-02,Aruba,Curaçao,1,1,Friendly,Oranjestad,Aruba,False
1938-07-08,Aruba,Suriname,5,0,Friendly,Oranjestad,Aruba,False
1941-01-18,Curaçao,Aruba,4,0,Friendly,Willemstad,Curaçao,False
1941-01-19,Curaçao,Aruba,2,1,Friendly,Willemstad,Curaçao,False
1941-04-13,Aruba,Curaçao,0,0,Friendly,Oranjestad,Aruba,False
1941-04-14,Aruba,Curaçao,2,2,Friendly,Oranjestad,Aruba,False
1942-05-25,Curaçao,Aruba,2,2,Friendly,Willemstad,Curaçao,False
1943-09-25,Curaçao,Aruba,3,3,Friendly,Willemstad,Curaçao,False
1943-09-26,Curaçao,Aruba,2,2,Friendly,Willemstad,Curaçao,False
1943-12-11,Aruba,Curaçao,1,2,Friendly,Oranjestad,Aruba,False
1943-12-12,Aruba,Curaçao,1,1,Friendly,Oranjestad,Aruba,False
1944-04-01,Aruba,Venezuela,1,3,Friendly,Willemstad,Curaçao,True
1944-04-08,Aruba,Haiti,1,1,Friendly,Willemstad,Curaçao,True
1944-04-10,Curaçao,Aruba,3,1,Friendly,Willemstad,Curaçao,False
1944-07-29,Curaçao,Aruba,2,4,Friendly,Willemstad,Curaçao,False
1944-07-30,Curaçao,Aruba,2,3,Friendly,Willemstad,Curaçao,False
1944-08-27,Suriname,Aruba,5,0,Friendly,Paramaribo,Dutch Guyana,False
1944-08-29,Aruba,Curaçao,1,2,Friendly,Paramaribo,Dutch Guyana,True
1944-09-02,Aruba,Curaçao,1,5,Friendly,Paramaribo,Dutch Guyana,True
1944-09-05,Suriname,Aruba,2,3,Friendly,Paramaribo,Dutch Guyana,False
1945-12-08,Aruba,Curaçao,2,1,Friendly,Oranjestad,Aruba,False
1945-12-09,Aruba,Curaçao,2,1,Friendly,Oranjestad,Aruba,False
1946-05-26,Curaçao,Aruba,2,1,Friendly,Willemstad,Curaçao,False
1946-06-06,Aruba,Suriname,8,1,Friendly,Willemstad,Curaçao,True
1946-11-23,Aruba,Curaçao,0,4,Friendly,Oranjestad,Aruba,False
1946-11-24,Aruba,Curaçao,3,1,Friendly,Oranjestad,Aruba,False
1947-06-21,Curaçao,Aruba,4,1,Friendly,Willemstad,Curaçao,False
1947-06-22,Curaçao,Aruba,0,0,Friendly,Willemstad,Curaçao,False
1949-07-30,Curaçao,Aruba,3,0,Friendly,Willemstad,Curaçao,False
1952-02-02,Curaçao,Aruba,3,0,Friendly,Willemstad,Curaçao,False
1952-02-03,Curaçao,Aruba,3,1,Friendly,Willemstad,Curaçao,False
1952-02-14,Aruba,Suriname,2,1,Friendly,Oranjestad,Aruba,False
1953-08-29,Suriname,Aruba,3,3,Friendly,Paramaribo,Dutch Guyana,False
1953-09-03,Suriname,Aruba,3,3,Friendly,Paramaribo,Dutch Guyana,False
1954-07-27,Aruba,Netherlands,2,2,Friendly,Oranjestad,Aruba,False
1955-08-14,Costa Rica,Aruba,3,2,CCCF Championship,Tegucigalpa,Honduras,True
1955-08-16,Curaçao,Aruba,2,1,CCCF Championship,Tegucigalpa,Honduras,True
1955-08-19,Aruba,Cuba,4,1,CCCF Championship,Tegucigalpa,Honduras,True
1955-08-22,Honduras,Aruba,1,1,CCCF Championship,Tegucigalpa,Honduras,False
1955-08-24,El Salvador,Aruba,2,0,CCCF Championship,Tegucigalpa,Honduras,True
1957-08-26,Aruba,Panama,2,2,Friendly,Oranjestad,Aruba,False
1989-03-31,Aruba,Trinidad and Tobago,0,7,Friendly,Willemstad,Curaçao,True
1989-04-02,Curaçao,Aruba,1,0,Friendly,Willemstad,Curaçao,False
1989-04-23,Trinidad and Tobago,Aruba,11,0,CFU Caribbean Cup qualification,Arima,Trinidad and Tobago,False
1989-05-21,Aruba,Grenada,0,0,CFU Caribbean Cup qualification,Oranjestad,Aruba,False
1989-06-08,French Guiana,Aruba,4,0,CFU Caribbean Cup qualification,Cayenne,French Guiana,False
1989-06-18,Aruba,Saint Kitts and Nevis,1,4,CFU Caribbean Cup qualification,Oranjestad,Aruba,False
1990-09-30,Aruba,Curaçao,1,3,Friendly,Oranjestad,Aruba,False
1991-05-08,Aruba,Suriname,0,1,CFU Caribbean Cup qualification,Georgetown,Guyana,True
1991-05-10,Guyana,Aruba,4,1,CFU Caribbean Cup qualification,Georgetown,Guyana,False
1992-05-08,Aruba,French Guiana,0,2,CFU Caribbean Cup qualification,Paramaribo,Suriname,True
1995-05-07,Aruba,Curaçao,3,4,CFU Caribbean Cup qualification,Oranjestad,Aruba,False
1995-05-14,Curaçao,Aruba,3,2,CFU Caribbean Cup qualification,Willemstad,Curaçao,True
1996-03-24,Dominican Republic,Aruba,3,2,FIFA World Cup qualification,Santo Domingo,Dominican Republic,False
1996-03-31,Aruba,Dominican Republic,1,3,FIFA World Cup qualification,Oranjestad,Aruba,False
1997-03-05,Aruba,Curaçao,2,1,CFU Caribbean Cup qualification,Oranjestad,Aruba,False
1997-05-04,Aruba,Jamaica,0,6,CFU Caribbean Cup qualification,Oranjestad,Aruba,False
1998-03-03,Aruba,French Guiana,1,0,CFU Caribbean Cup qualification,Oranjestad,Aruba,False
1998-03-05,Aruba,Curaçao,0,1,CFU Caribbean Cup qualification,Oranjestad,Aruba,False
1998-03-07,Aruba,Suriname,3,3,CFU Caribbean Cup qualification,Oranjestad,Aruba,False
2000-03-11,Aruba,Puerto Rico,4,2,FIFA World Cup qualification,Oranjestad,Aruba,False
2000-03-18,Puerto Rico,Aruba,2,2,FIFA World Cup qualification,San Juan,Puerto Rico,False
2000-04-01,Aruba,Barbados,1,3,FIFA World Cup qualification,Oranjestad,Aruba,False
2000-04-16,Barbados,Aruba,4,0,FIFA World Cup qualification,Bridgetown,Barbados,False
2001-04-04,Suriname,Aruba,5,0,CFU Caribbean Cup qualification,Paramaribo,Suriname,False
2001-04-06,Grenada,Aruba,4,2,CFU Caribbean Cup qualification,Paramaribo,Suriname,True
2001-04-08,Barbados,Aruba,5,2,CFU Caribbean Cup qualification,Paramaribo,Suriname,True
2002-07-28,Aruba,Suriname,0,2,Gold Cup qualification,Oranjestad,Aruba,False
2002-08-11,Suriname,Aruba,6,0,Gold Cup qualification,Paramaribo,Suriname,False
2004-01-28,Curaçao,Aruba,6,1,Friendly,Willemstad,Curaçao,False
2004-02-28,Aruba,Suriname,1,2,FIFA World Cup qualification,Oranjestad,Aruba,False
2004-03-27,Suriname,Aruba,8,1,FIFA World Cup qualification,Paramaribo,Suriname,False
2008-02-06,Aruba,Antigua and Barbuda,0,3,FIFA World Cup qualification,Oranjestad,Aruba,False
2008-03-26,Antigua and Barbuda,Aruba,1,0,FIFA World Cup qualification,St. John's,Antigua and Barbuda,False
2008-07-27,Curaçao,Aruba,0,0,CFU Caribbean Cup qualification,Willemstad,Curaçao,True
2008-07-29,Grenada,Aruba,3,1,CFU Caribbean Cup qualification,Willemstad,Curaçao,True
2010-05-20,Aruba,Venezuela,0,3,Friendly,Oranjestad,Aruba,False
2010-10-29,Curaçao,Aruba,3,0,ABCS Tournament,Willemstad,Curaçao,False
2010-10-31,Aruba,Bonaire,3,3,ABCS Tournament,Willemstad,Curaçao,True
2011-07-08,Aruba,Saint Lucia,4,2,FIFA World Cup qualification,Oranjestad,Aruba,False
2011-07-12,Saint Lucia,Aruba,4,2,FIFA World Cup qualification,Castries,Saint Lucia,False
2011-12-02,Suriname,Aruba,0,0,ABCS Tournament,Paramaribo,Suriname,False
2011-12-04,Bonaire,Aruba,2,2,ABCS Tournament,Paramaribo,Suriname,True
2012-07-13,Aruba,Curaçao,3,2,ABCS Tournament,Oranjestad,Aruba,False
2012-07-15,Aruba,Suriname,1,0,ABCS Tournament,Oranjestad,Aruba,False
2012-09-23,Aruba,Dominican Republic,2,2,CFU Caribbean Cup qualification,Bridgetown,Barbados,True
2012-09-25,Dominica,Aruba,3,2,CFU Caribbean Cup qualification,Bridgetown,Barbados,True
2012-09-27,Barbados,Aruba,2,1,CFU Caribbean Cup qualification,Bridgetown,Barbados,False
2013-11-14,Curaçao,Aruba,2,0,ABCS Tournament,Willemstad,Curaçao,False
2013-11-16,Aruba,Bonaire,1,2,ABCS Tournament,Willemstad,Curaçao,True
2014-03-27,Aruba,Guam,2,2,Friendly,Oranjestad,Aruba,False
2014-03-30,Aruba,Guam,2,0,Friendly,Oranjestad,Aruba,False
2014-05-30,Aruba,Turks and Caicos Islands,1,0,CFU Caribbean Cup qualification,Oranjestad,Aruba,False
2014-06-01,Aruba,British Virgin Islands,7,0,CFU Caribbean Cup qualification,Oranjestad,Aruba,False
2014-06-03,Aruba,French Guiana,0,2,CFU Caribbean Cup qualification,Oranjestad,Aruba,False
2015-01-30,Curaçao,Aruba,0,0,ABCS Tournament,Paramaribo,Suriname,True
2015-02-01,Suriname,Aruba,1,0,ABCS Tournament,Paramaribo,Suriname,False
2015-06-10,Aruba,Barbados,0,2,FIFA World Cup qualification,Oranjestad,Aruba,False
2015-06-14,Barbados,Aruba,0,3,FIFA World Cup qualification,Bridgetown,Barbados,False
2015-09-04,Saint Vincent and the Grenadines,Aruba,2,0,FIFA World Cup qualification,Kingstown,Saint Vincent and the Grenadines,False
2015-09-08,Aruba,Saint Vincent and the Grenadines,2,1,FIFA World Cup qualification,Oranjestad,Aruba,False
2016-03-23,Antigua and Barbuda,Aruba,2,1,CFU Caribbean Cup qualification,St. John's,Antigua and Barbuda,False
2016-03-26,Aruba,Saint Kitts and Nevis,0,2,CFU Caribbean Cup qualification,Oranjestad,Aruba,False
2018-09-09,Aruba,Bermuda,3,1,CONCACAF Nations League qualification,Willemstad,Curaçao,True
