Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
2005-02-12,Occitania,Monaco,0,0,Friendly,Béziers,France,False
2005-05-03,Occitania,Chechnya,14,0,Friendly,Occitania,France,False
2005-05-17,Monaco,Occitania,1,1,Friendly,Cap-d'Ail,France,True
2005-12-17,Occitania,Monaco,1,2,Friendly,Cap-d'Ail,France,False
2006-11-20,Occitania,Sápmi,0,7,Viva World Cup,Costebelle,France,False
2006-11-21,Occitania,Monaco,2,3,Viva World Cup,Hyères,France,False
2006-11-23,Occitania,Ambazonia,3,0,Viva World Cup,Hyères,France,True
2006-11-24,Occitania,Ambazonia,3,0,Viva World Cup,Hyères,France,True
2008-11-08,Occitania,Monaco,2,2,Friendly,Caraglio,Italy,False
2009-06-22,Padania,Occitania,1,0,Viva World Cup,Novara,Italy,False
2009-06-23,Occitania,Iraqi Kurdistan,0,4,Viva World Cup,Varese,Italy,True
2009-06-26,Occitania,Gozo,2,1,Viva World Cup,Brescia,Italy,True
2010-04-03,Occitania,Monaco,5,1,Friendly,Saint-Dalmas-De-Tende,France,False
2010-06-01,Occitania,Padania,0,1,Viva World Cup,Xewkija,Malta,True
2010-06-02,Gozo,Occitania,0,5,Viva World Cup,Xewkija,Malta,False
2010-06-04,Iraqi Kurdistan,Occitania,2,1,Viva World Cup,Sannat,Malta,True
2010-06-05,Occitania,Two Sicilies,2,0,Viva World Cup,Sannat,Malta,True
2011-05-28,Occitania,Romani people,11,2,Friendly,Olargues,France,False
2011-12-29,Occitania,Cilento,2,0,Friendly,Fontès,France,False
2012-03-30,Occitania,Sápmi,3,2,Friendly,Toulouse,France,False
2012-06-05,Western Sahara,Occitania,2,6,Viva World Cup,Salahaddin,Iraq,True
2012-06-06,Iraqi Kurdistan,Occitania,1,0,Viva World Cup,Sulaymaniyah,Iraq,False
2012-06-07,Occitania,Tamil Eelam,7,0,Viva World Cup,Erbil,Iraq,True
2012-06-09,Occitania,Western Sahara,3,1,Viva World Cup,Salahaddin,Iraq,True
2013-07-05,Sealand,Occitania,0,8,Tynwald Hill Tournament,St John's,Isle of Man,True
2013-07-06,Tamil Eelam,Occitania,0,5,Tynwald Hill Tournament,St John's,Isle of Man,True
2013-12-28,Galicia,Occitania,1,7,Friendly,Lugo,Spain,False
2014-06-01,Abkhazia,Occitania,1,1,CONIFA World Football Cup,Östersund,Sweden,True
2014-06-03,Sápmi,Occitania,0,1,CONIFA World Football Cup,Östersund,Sweden,False
2014-06-04,Arameans Suryoye,Occitania,0,0,CONIFA World Football Cup,Östersund,Sweden,True
2014-06-05,Occitania,Iraqi Kurdistan,2,2,CONIFA World Football Cup,Östersund,Sweden,True
2014-06-07,Abkhazia,Occitania,0,1,CONIFA World Football Cup,Östersund,Sweden,True
2014-12-30,Occitania,Ellan Vannin,5,1,Friendly,Toulouse,France,False
